Ward,Rainfall,pH,Turbidity,Cases,Risk
Ward4,140,8.297672078015976,2.1531200313642107,9,Low
Ward1,129,6.058780634133012,4.11004654338743,12,Medium
Ward3,20,6.7575835432098845,7.166975503570836,12,Medium
Ward5,156,5.582162779593778,7.03420759160562,17,Medium
Ward2,96,7.835167709009601,7.4437346437152785,14,Medium
Ward2,128,8.183819990511541,1.7653979023280013,11,Medium
Ward3,121,7.5115841202068365,6.337589664682512,14,Medium
Ward2,3,7.57563134185142,3.8396406790545665,8,Low
Ward3,52,6.737616524509079,1.3075418006725514,6,Low
Ward1,196,6.395485884259134,5.015210554774955,17,Medium
Ward2,104,6.907715579314429,1.8655503440091552,11,Medium
Ward4,165,5.750869013641078,9.251752010767557,19,High
Ward3,10,6.974719477841015,1.4802629060537233,3,Low
Ward4,92,7.267916610709853,7.297825240188381,13,Medium
Ward2,113,6.979178780634237,5.865404579412796,16,Medium
Ward3,76,5.58940407454718,8.948129282374808,14,Medium
Ward4,76,8.176407616005644,4.398259070359852,13,Medium
Ward2,96,7.677993956051354,8.949754820852288,16,Medium
Ward2,152,6.546695025933527,3.429351025885235,15,Medium
Ward2,94,8.144025488902033,1.1050227431280422,9,Low
Ward2,130,5.8442379188601254,9.54540332836364,19,High
Ward1,82,6.639409860306091,7.8662806610048985,13,Medium
Ward2,170,6.479934705316288,5.743522920318483,16,Medium
Ward3,97,7.793777710721495,5.2065341483234695,11,Medium
Ward2,149,8.491968551354441,2.551064575107957,11,Medium
Ward2,142,6.075868234712291,5.178803530290734,13,Medium
Ward4,143,8.26907360663945,7.403722827656246,20,High
Ward1,21,7.029430834491798,1.919217092843737,4,Low
Ward1,45,6.3349565146306155,3.102602709179022,8,Low
Ward5,66,6.753779617571016,4.310589165745866,11,Medium
Ward4,181,7.65217480377343,6.516532834550334,19,High
Ward1,54,7.741364928211554,6.00616210591377,11,Medium
Ward5,74,8.31157097320002,9.247688859458618,14,Medium
Ward5,50,5.607998309129111,6.8889139452055375,13,Medium
Ward1,113,8.401828990000816,6.112904157279479,15,Medium
Ward4,19,5.9848555742672715,9.44840529734068,15,Medium
Ward5,34,6.113074383585655,9.835809770679683,16,Medium
Ward1,94,5.710066431157667,5.3771059984332865,12,Medium
Ward1,42,8.465848463237347,6.217706973212172,10,Low
Ward5,64,7.736003292719506,7.023096041078661,14,Medium
Ward2,156,6.610252593742318,6.6674575631940804,16,Medium
Ward1,48,6.280945295735623,8.242791073690109,12,Medium
Ward1,19,8.274423911198053,3.369670934383999,6,Low
Ward4,68,7.816534088629741,9.170342672531717,18,Medium
Ward4,184,6.203086258364261,6.551005213014919,21,High
Ward2,53,7.424698626839012,4.510069427271216,10,Low
Ward5,37,6.856004825074555,8.27504871240706,15,Medium
Ward1,59,8.389787585322136,2.5656010001241794,9,Low
Ward5,114,5.538137995187747,5.135907557098059,13,Medium
Ward2,171,6.916250262622452,1.9485212638122746,14,Medium
Ward2,27,7.928472076379746,4.102629874149641,6,Low
Ward3,84,8.136495953235531,8.602610008529997,16,Medium
Ward5,131,6.789903697662357,4.116596640552821,14,Medium
Ward1,61,8.350129930655143,3.8224974657580213,9,Low
Ward3,95,6.445734409286119,9.035998376726361,15,Medium
Ward5,82,5.644410380435942,1.1428568272422481,5,Low
Ward1,158,8.255805333932578,1.003618224022217,12,Medium
